ejemplares,repeticion,protobuf_bytes,json_bytes,protobuf_gzip_bytes,json_gzip_bytes,ahorro_protobuf_pct,ahorro_protobuf_gzip_pct,python_version,protobuf_version,gzip_level
5,29,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
5,30,194,440,163,245,55.90909090909091,33.46938775510204,3.13.7,7.36.2,9
10,1,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,2,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,3,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,4,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,5,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,6,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,7,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,8,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,9,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,10,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,11,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,12,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,13,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,14,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,15,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,16,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,17,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,18,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,19,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,20,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,21,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,22,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,23,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,24,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,25,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,26,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,27,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,28,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,29,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
10,30,292,689,179,262,57.61973875181422,31.679389312977097,3.13.7,7.36.2,9
25,1,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,2,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,3,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,4,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,5,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,6,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,7,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,8,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,9,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,10,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,11,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,12,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,13,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,14,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,15,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,16,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,17,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,18,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,19,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,20,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,21,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,22,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,23,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,24,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,25,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,26,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,27,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,28,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,29,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
25,30,584,1432,230,307,59.217877094972074,25.0814332247557,3.13.7,7.36.2,9
50,1,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,2,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,3,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,4,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,5,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,6,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,7,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,8,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,9,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,10,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,11,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,12,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,13,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,14,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,15,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,16,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,17,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,18,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,19,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,20,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,21,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,22,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,23,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,24,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,25,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,26,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,27,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,28,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,29,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
50,30,1072,2670,304,373,59.8501872659176,18.498659517426276,3.13.7,7.36.2,9
100,1,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,2,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,3,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,4,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,5,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,6,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,7,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,8,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,9,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,10,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,11,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,12,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,13,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,14,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,15,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,16,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,17,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,18,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,19,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,20,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,21,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,22,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,23,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,24,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,25,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,26,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,27,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,28,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,29,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
100,30,2046,5145,444,505,60.2332361516035,12.07920792079208,3.13.7,7.36.2,9
250,1,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,2,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,3,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,4,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,5,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,6,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,7,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,8,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,9,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,10,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,11,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,12,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,13,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,14,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,15,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,16,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,17,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,18,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,19,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,20,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,21,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,22,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,23,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,24,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,25,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,26,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,27,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,28,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,29,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
250,30,4974,12572,785,904,60.435889277760104,13.163716814159294,3.13.7,7.36.2,9
500,1,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,2,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,3,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,4,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,5,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,6,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
500,7,9848,24946,1357,1545,60.52272909484486,12.168284789644012,3.13.7,7.36.2,9
